integer INTEGER
real REAL
boolean BOOLEAN
of OF
array ARRAY
start START
end END
declare DECLARE
module MODULE
driver DRIVER
program PROGRAM
get_value GET_VALUE
print PRINT
use USE
with WITH
parameters PARAMETERS
takes TAKES
input INPUT
returns RETURNS
for FOR
in IN
switch SWITCH
case CASE
break BREAK
default DEFAULT
while WHILE
AND AND
OR OR
true TRUE
false FALSE
